motif_name	tf
At1g76110(ARID)/colamp-At1g76110-DAP-Seq(GSE60143)/Homer	At1g76110
ATHB20(Homeobox)/colamp-ATHB20-DAP-Seq(GSE60143)/Homer	ATHB20
HIC1(Zf)/Treg-ZBTB29-ChIP-Seq(GSE99889)/Homer	HIC1
WRKY15(WRKY)/col-WRKY15-DAP-Seq(GSE60143)/Homer	WRKY15
WRKY25(WRKY)/colamp-WRKY25-DAP-Seq(GSE60143)/Homer	WRKY25
WRKY27(WRKY)/colamp-WRKY27-DAP-Seq(GSE60143)/Homer	WRKY27
Mef2c(MADS)/GM12878-Mef2c-ChIP-Seq(GSE32465)/Homer	MEF2C
CDM1(C3H)/colamp-CDM1-DAP-Seq(GSE60143)/Homer	CDM1
At5g52660(MYBrelated)/colamp-At5g52660-DAP-Seq(GSE60143)/Homer	At5g52660
RBFox2(?)/Heart-RBFox2-CLIP-Seq(GSE57926)/Homer	RBFox2
AT5G05550(Trihelix)/col-AT5G05550-DAP-Seq(GSE60143)/Homer	AT5G05550
AGL95(ND)/col-AGL95-DAP-Seq(GSE60143)/Homer	AGL95
ESE3(AP2EREBP)/col-ESE3-DAP-Seq(GSE60143)/Homer	ESE3
RXR(NR),DR1/3T3L1-RXR-ChIP-Seq(GSE13511)/Homer	RXR
OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	POU5F1
Rfx1(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	RFX1
Lhx2(Homeobox)/HFSC-Lhx2-ChIP-Seq(GSE48068)/Homer	LHX2
HOXD13(Homeobox)/Chicken-Hoxd13-ChIP-Seq(GSE38910)/Homer	HOXD13
CHR(?)/Hela-CellCycle-Expression/Homer	CHR
WRKY29(WRKY)/colamp-WRKY29-DAP-Seq(GSE60143)/Homer	WRKY29
Sp1(Zf)/Promoter/Homer	SP1
WRKY45(WRKY)/col-WRKY45-DAP-Seq(GSE60143)/Homer	WRKY45
Dlx3(Homeobox)/Kerainocytes-Dlx3-ChIP-Seq(GSE89884)/Homer	DLX3
STAT4(Stat)/CD4-Stat4-ChIP-Seq(GSE22104)/Homer	STAT4
TEAD4(TEA)/Tropoblast-Tead4-ChIP-Seq(GSE37350)/Homer	TEAD4
Hoxa13(Homeobox)/ChickenMSG-Hoxa13.Flag-ChIP-Seq(GSE86088)/Homer	HOXA13
ASL18(LOBAS2)/colamp-ASL18-DAP-Seq(GSE60143)/Homer	ASL18
DMRT6(DM)/Testis-DMRT6-ChIP-Seq(GSE60440)/Homer	DMRT6
Hoxd11(Homeobox)/ChickenMSG-Hoxd11.Flag-ChIP-Seq(GSE86088)/Homer	HOXD11
GEI-11(Myb?)/cElegans-L4-GEI11-ChIP-Seq(modEncode)/Homer	GEI-11
Mef2b(MADS)/HEK293-Mef2b.V5-ChIP-Seq(GSE67450)/Homer	MEF2B
PRDM10(Zf)/HEK293-PRDM10.eGFP-ChIP-Seq(Encode)/Homer	PRDM10
WRKY50(WRKY)/col-WRKY50-DAP-Seq(GSE60143)/Homer	WRKY50
IRF1(IRF)/PBMC-IRF1-ChIP-Seq(GSE43036)/Homer	IRF1
Esrrb(NR)/mES-Esrrb-ChIP-Seq(GSE11431)/Homer	ESRRB
WRKY31(WRKY)/colamp-WRKY31-DAP-Seq(GSE60143)/Homer	WRKY31
Nkx3.1(Homeobox)/LNCaP-Nkx3.1-ChIP-Seq(GSE28264)/Homer	NKX3-1
HRE(HSF)/HepG2-HSF1-ChIP-Seq(GSE31477)/Homer	HSF1
Tbet(T-box)/CD8-Tbet-ChIP-Seq(GSE33802)/Homer	TBX21
ZSCAN22(Zf)/HEK293-ZSCAN22.GFP-ChIP-Seq(GSE58341)/Homer	ZSCAN22
TFDP1(E2F)/K562-TFDP1-ChIP-Seq(GSE105217)/Homer	TFDP1
WRKY24(WRKY)/colamp-WRKY24-DAP-Seq(GSE60143)/Homer	WRKY24
MYB56(MYB)/colamp-MYB56-DAP-Seq(GSE60143)/Homer	MYB56
Mef2a(MADS)/HL1-Mef2a.biotin-ChIP-Seq(GSE21529)/Homer	MEF2A
X-box(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	H3K4me1
Bapx1(Homeobox)/VertebralCol-Bapx1-ChIP-Seq(GSE36672)/Homer	NKX3-2
Zfp809(Zf)/ES-Zfp809-ChIP-Seq(GSE70799)/Homer	ZFP809
ZNF416(Zf)/HEK293-ZNF416.GFP-ChIP-Seq(GSE58341)/Homer	ZNF416
MYB92(MYB)/colamp-MYB92-DAP-Seq(GSE60143)/Homer	MYB92
Lhx3(Homeobox)/Neuron-Lhx3-ChIP-Seq(GSE31456)/Homer	LHX3
M1BP(Zf)/S2R+-M1BP-ChIP-Seq(GSE49842)/Homer	M1BP
En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)/Homer	EN1
OCT:OCT(POU,Homeobox,IR1)/NPC-Brn2-ChIP-Seq(GSE35496)/Homer	POU3F2
Hoxd13(Homeobox)/ChickenMSG-Hoxd13.Flag-ChIP-Seq(GSE86088)/Homer	HOXD13
ARF16(ARF)/col-ARF16-DAP-Seq(GSE60143)/Homer	ARF16
ZNF675(Zf)/HEK293-ZNF675.GFP-ChIP-Seq(GSE58341)/Homer	ZNF675
AT1G49560(G2like)/colamp-AT1G49560-DAP-Seq(GSE60143)/Homer	AT1G49560
EPR1(MYBrelated)/colamp-EPR1-DAP-Seq(GSE60143)/Homer	EPR1
LHY1(MYBrelated)/col-LHY1-DAP-Seq(GSE60143)/Homer	LHY1
BOS1(MYB)/col-BOS1-DAP-Seq(GSE60143)/Homer	BOS1
HOXA3(Homeobox)/mEmbryo-Hoxa3-ChIP-Seq(E-MTAB-8607)/Homer	HOXA3
AT4G37180(G2like)/col-AT4G37180-DAP-Seq(GSE60143)/Homer	AT4G37180
RVE1(MYBrelated)/col-RVE1-DAP-Seq(GSE60143)/Homer	RVE1
MYB55(MYB)/colamp-MYB55-DAP-Seq(GSE60143)/Homer	MYB55
Nkx6.1(Homeobox)/Islet-Nkx6.1-ChIP-Seq(GSE40975)/Homer	NKX6-1
ZNF519(Zf)/HEK293-ZNF519.GFP-ChIP-Seq(GSE58341)/Homer	ZNF519
ZML2(C2C2gata)/col-ZML2-DAP-Seq(GSE60143)/Homer	ZML2
IRF:BATF(IRF:bZIP)/pDC-Irf8-ChIP-Seq(GSE66899)/Homer	IRF8
LHX9(Homeobox)/Hct116-LHX9.V5-ChIP-Seq(GSE116822)/Homer	LHX9
MafF(bZIP)/HepG2-MafF-ChIP-Seq(GSE31477)/Homer	MAFF
HOXA1(Homeobox)/mES-Hoxa1-ChIP-Seq(SRP084292)/Homer	HOXA1
TGA10(bZIP)/colamp-TGA10-DAP-Seq(GSE60143)/Homer	TGA10
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	CTCFL
LBD13(LOBAS2)/colamp-LBD13-DAP-Seq(GSE60143)/Homer	LBD13
TEAD2(TEA)/Py2T-Tead2-ChIP-Seq(GSE55709)/Homer	TEAD2
FRS9(ND)/col-FRS9-DAP-Seq(GSE60143)/Homer	FRS9
TCP17(TCP)/col-TCP17-DAP-Seq(GSE60143)/Homer	TCP17
VDR(NR),DR3/GM10855-VDR+vitD-ChIP-Seq(GSE22484)/Homer	VDR
LRF(Zf)/Erythroblasts-ZBTB7A-ChIP-Seq(GSE74977)/Homer	ZBTB7A
FoxD3(forkhead)/ZebrafishEmbryo-Foxd3.biotin-ChIP-seq(GSE106676)/Homer	FOXD3
AT5G45580(G2like)/colamp-AT5G45580-DAP-Seq(GSE60143)/Homer	AT5G45580
ERRg(NR)/Kidney-ESRRG-ChIP-Seq(GSE104905)/Homer	ESRRG
GAGA-repeat/Arabidopsis-Promoters/Homer	GAGA-repeat/Arabidopsis-Promoters/Homer
BPC6(BBRBPC)/col-BPC6-DAP-Seq(GSE60143)/Homer	BPC6
 Ik-1	 Ik-1
TGA9(bZIP)/colamp-TGA9-DAP-Seq(GSE60143)/Homer	TGA9
ATHB23(ZFHD)/col-ATHB23-DAP-Seq(GSE60143)/Homer	ATHB23
At3g04030(G2like)/col-At3g04030-DAP-Seq(GSE60143)/Homer	At3g04030
FUS3(ABI3VP1)/col-FUS3-DAP-Seq(GSE60143)/Homer	FUS3
Six2(Homeobox)/NephronProgenitor-Six2-ChIP-Seq(GSE39837)/Homer	SIX2
DLX5(Homeobox)/BasalGanglia-Dlx5-ChIP-seq(GSE124936)/Homer	DLX5
ATHB34(ZFHD)/colamp-ATHB34-DAP-Seq(GSE60143)/Homer	ATHB34
AT3G10113(MYBrelated)/col-AT3G10113-DAP-Seq(GSE60143)/Homer	AT3G10113
SPL11(SBP)/col100-SPL11-DAP-Seq(GSE60143)/Homer	SPL11
AT3G58630(Trihelix)/col-AT3G58630-DAP-Seq(GSE60143)/Homer	AT3G58630
Gsx2(Homeobox)/LGE-Gsx2.Flag-ChIP-Seq(GSE162589)/Homer	GSX2
HOXB13(Homeobox)/ProstateTumor-HOXB13-ChIP-Seq(GSE56288)/Homer	HOXB13
WRKY8(WRKY)/colamp-WRKY8-DAP-Seq(GSE60143)/Homer	WRKY8
Isl1(Homeobox)/Neuron-Isl1-ChIP-Seq(GSE31456)/Homer	ISL1
Hoxc13(Homeobox)/EB-Hoxc13.HA-ChIP-Seq(GSE142377)/Homer	HOXC13
At1g25550(G2like)/colamp-At1g25550-DAP-Seq(GSE60143)/Homer	At1g25550
Duxbl(Homeobox)/NIH3T3-Duxbl.HA-ChIP-Seq(GSE119782)/Homer	DUXBL
LCL1(MYBrelated)/colamp-LCL1-DAP-Seq(GSE60143)/Homer	LCL1
HOXA2(Homeobox)/mES-Hoxa2-ChIP-Seq(Donaldson_et_al.)/Homer	HOXA2
Zelda(Zf)/Embryo-zld-ChIP-Seq(GSE65441)/Homer	Zelda
RAR:RXR(NR),DR0/ES-RAR-ChIP-Seq(GSE56893)/Homer	RAR
DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)/Homer	DLX2
TCFL2(HMG)/K562-TCF7L2-ChIP-Seq(GSE29196)/Homer	TCF7L2
WIP5(C2H2)/colamp-WIP5-DAP-Seq(GSE60143)/Homer	WIP5
E2F(E2F)/Hela-CellCycle-Expression/Homer	E2F
EBNA1(EBV-virus)/Raji-EBNA1-ChIP-Seq(GSE30709)/Homer	EBNA1
p53(p53)/mES-cMyc-ChIP-Seq(GSE11431)/Homer	TP53
REST-NRSF(Zf)/Jurkat-NRSF-ChIP-Seq/Homer	REST
T1ISRE(IRF)/ThioMac-Ifnb-Expression/Homer	IRF1
ZNF528(Zf)/HEK293-ZNF528.GFP-ChIP-Seq(GSE58341)/Homer	ZNF528
dHNF4(NR)/Fly-HNF4-ChIP-Seq(GSE73675)/Homer	dHNF4
AT4G12670(MYBrelated)/col-AT4G12670-DAP-Seq(GSE60143)/Homer	AT4G12670
AT4G27900(C2C2COlike)/col-AT4G27900-DAP-Seq(GSE60143)/Homer	AT4G27900
bZIP42(bZIP)/colamp-bZIP42-DAP-Seq(GSE60143)/Homer	bZIP42
bZIP44(bZIP)/colamp-bZIP44-DAP-Seq(GSE60143)/Homer	bZIP44
DEL1(E2FDP)/colamp-DEL1-DAP-Seq(GSE60143)/Homer	DEL1
PLT3(AP2EREBP)/col-PLT3-DAP-Seq(GSE60143)/Homer	PLT3
REM16(ABI3VP1)/col-REM16-DAP-Seq(GSE60143)/Homer	REM16
Unknown2/Arabidopsis-Promoters/Homer	Unknown2/Arabidopsis-Promoters
WRKY7(WRKY)/colamp-WRKY7-DAP-Seq(GSE60143)/Homer	WRKY7
ZIM(C2C2gata)/col-ZIM-DAP-Seq(GSE60143)/Homer	ZIM
LIN-15B(Zf)/cElegans-L3-LIN15B-ChIP-Seq(modEncode)/Homer	LIN-15B
